review_id,job_id,name,status,verification
"J01-S","villager_towers","유산 상속","구현 완료·자동 검증 완료","테스트: AugmentCombatGameTest.villagerInheritanceUsesPermanentStacksAcrossTiersOnlyOnce; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 확인 대기"
"J01-G1","villager_towers","장수 만세","구현 완료·자동 검증 완료","테스트: AugmentCombatGameTest.villagerLongevityDoesNotConsumeGrowthOrRecurse; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 확인 대기"
"J01-G2","villager_towers","연쇄 폭발","구현 완료·자동 검증 완료","테스트: AugmentCombatGameTest.villagerCorpseChainStopsAfterTwoGenerationsAndSuppressesOtherTriggers; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 확인 대기"
"J01-P","villager_towers","마을의 거신","구현 완료·자동 검증 완료","테스트: VillagerAugmentsTest.giantSelectionPreservesHealthRatioAndDoesNotBuffOtherGolems; AugmentCombatGameTest.villagerGiantPulsesAfterSixtyTicksAndStopsAfterRound; JobAugmentSelectionGameTest.allFourManualJobCardsRejectWrongClassForeignOwnerAndTemporaryCopies; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 부분 확인: 제안·획득 기록과 본인 시점 지정 발광 켜짐·꺼짐; 실제 마우스·호버·다른 플레이어 시점 미확인; 근거: 2026-09-21-season-3-builder-augment-client-qa.ko.md"
"J02-S","villager_adv_towers","멘토 & 멘티","구현 완료·자동 검증 완료","테스트: VillagerAdvAugmentsTest.mentorCopiesOnlyNormalAwardToOneLowestExperienceTower; SemionVillagerAdvGameTest.selectedMentorTransfersRealRoundAwardOnlyToLowestEligibleTower; SemionVillagerAdvGameTest.unselectedMentorLeavesRealRoundAwardsUnchanged; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 확인 대기"
"J02-G1","villager_adv_towers","조기 졸업","구현 완료·자동 검증 완료","테스트: VillagerAdvAugmentsTest.earlyGraduationDoublesOnlyTierAwardAndBypassesExperienceAtHigherCost; BuilderAugmentTransactionGameTest.earlyGraduationAdjustsPaymentBeforeTicketAndTemporaryOverridesCannotSell; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 확인 대기"
"J02-G2","villager_adv_towers","역할 대항전","구현 완료·자동 검증 완료","테스트: VillagerAdvAugmentsTest.roleContestKeepsAllBranchesInFourStarterFamilies; JobAdvAnimalResonanceGameTest.roleContestExecutesSupportActionAfterSixSecondsAndResetCancelsIt; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 확인 대기"
"J02-P","villager_adv_towers","수석 졸업","구현 완료·자동 검증 완료","테스트: VillagerAdvAugmentsTest.graduateChoosesHighestExperienceAttackerAndRangeClearsAfterWave; JobAdvAnimalResonanceGameTest.topGraduateAttacksTwoExtraTargetsWithoutRecursiveShots; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 확인 대기"
"J03-S","undead_towers","헌혈의 집","구현 완료·자동 검증 완료","테스트: UndeadAugmentsGameTest.actualOverflowHealsOnlyLowestNearbyAllyAndExtraAttacksDoNotDonate; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 확인 대기"
"J03-G1","undead_towers","뼈가 실린 공격","구현 완료·자동 검증 완료","테스트: UndeadAugmentsTest.boneChargesRequireCappedGrowthAndSameLaneEnemiesThenAccumulateAndReset; UndeadAugmentsGameTest.boneChargeHitsOnlyThreeOtherEnemiesForHalfPhysicalDamageWithoutRetriggering; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 확인 대기"
"J03-G2","undead_towers","두번째 기회","구현 완료·자동 검증 완료","테스트: UndeadAugmentsTest.secondChanceWaitsTwentyTicksOnlyOnceAndRoundResetCancelsPendingRevival; UndeadAugmentsGameTest.actualDeathRespawnsAtTwentyTicksWithBonusAndResetCancelsTheWait; AugmentCombatGameTest.finalUndeadDefenderRevivesAfterTwentyTicksBeforeLaneBreak; 2026-09-21 14:44:34 KST Java 21 전체 게이트 재실행 통과: 필수 GameTest 668 통과; JUnit 1312 등록/1310 통과/2 건너뜀/실패 0/오류 0; remapJar 성공; 클라이언트 대표 장면 확인: 좀비 사망 모션과 같은 자리 부활; 서버 기록: 수동 레인 20틱 후 새 개체·체력 60/100; 근거: 2026-09-21-season-3-builder-augment-client-qa.ko.md"
