"번호","증강명","등급","분류","후보 구분","등장 라운드","효과·수치·조건","전용 타워","타워 획득 방식","설치 비용(다이아)","사용 슬롯","동시 설치 상한(기)","기본 몸체 체력 T1","기본 몸체 체력 T2","기본 몸체 체력 T3","기본 공격력 T1","기본 공격력 T2","기본 공격력 T3","사거리·지원 범위(블록)","기본 공격 간격(초)","피해 유형","단계별 특수 효과(T1 / T2 / T3)","성장·공통 제한","전체 설정 수치(원본 JSON)","증강 ID","수치 기준","근거 파일"
"1","과다 투자","실버","인컴·경제","일반 후보","R5 / R15 / R25","다음 유틸 인컴의 비용 ×1.25, 최대 체력 ×1.65, 회복과 보호막 ×1.65.","","","","","","","","","","","","","","","","","{""costMultiplier"":1.25,""healthMultiplier"":1.65,""supportMultiplier"":1.65}","semiontd:additional_payload","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"2","마무리 사격 I","실버","일반 강화","일반 후보","R5 / R15 / R25","체력이 절반 이하인 적에게 주 대상 기본 공격 피해 +40%. 추가 공격과 범위 피해에는 적용하지 않습니다.","","","","","","","","","","","","","","","","","{""damageBonus"":0.4}","semiontd:finishing_fire_1","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"3","방벽","실버","전용 타워","일반 후보","R5 / R15 / R25","배치 비용 160다이아. 슬롯 1칸, 동시 설치 1기, 체력 300. 한 번에 받는 피해 최대 15 · 회복 불가. 같은 거리에서 공격 가능한 다른 타워보다 먼저 공격받습니다. 직접 공격하지 않습니다. R15/R25 자동 강화.","방벽","설계도 해금 후 유료 설치","160","1","1","300","600","900","0","0","0","0","","물리","피격당 피해 상한 15 / 15 / 15. 직접 회복도 불가. 라운드 복구 유지.","R5 T1 / R15 T2 / R25 T3. 기본 몸체 체력 ×1/2/3, 기본 공격·고정 피해·회복 상한 ×1/1.5/2, 기존 광역 피해 반경 ×1/1.15/1.3. 비율 효과·횟수·대상 수는 유지. 외부 회복·전투 강화·복제 불가. 일반 승급 없음.","{""damagePerHitCap"":15,""healthPerTier"":1,""powerPerTier"":0.5,""areaPerTier"":0.15}","semiontd:folding_barricade_blueprint","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json; AugmentTowers.java; tower_balance.json; AugmentTower.java; OffensiveAugmentTower.java"
"4","비상 융자","실버","대가형","일반 후보","R5 / R15","현재 정기 지급액의 3배, 최대 300다이아 대출. 받은 금액의 4/3배를 다음 4회 정기 지급에서 상환합니다.","","","","","","","","","","","","","","","","","{""advanceCap"":300,""advanceMultiplier"":3,""debtMultiplier"":1.3333333333333333,""repaymentCount"":4}","semiontd:emergency_loan","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"5","삼각진","실버","일반 강화","일반 후보","R5 / R15 / R25","웨이브 시작에 반경 4블록 안의 다른 일반 영구 타워가 2기 이상이면 최종 피해 +20%, 받는 피해 15% 감소.","","","","","","","","","","","","","","","","","{""damageBonus"":0.2,""damageReduction"":0.15,""neighborCount"":2,""radius"":4}","semiontd:triangle_formation","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"6","속전","실버","일반 강화","일반 후보","R5 / R15 / R25","전투 시작 후 8초 동안 일반 영구 타워의 최종 피해 +35%.","","","","","","","","","","","","","","","","","{""longDamageBonus"":0.25,""longDamageReduction"":0.15,""quickDamageBonus"":0.35,""transitionTicks"":160}","semiontd:engagement_plan_quick","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"7","수호천사","실버","전용 타워","일반 후보","R5 / R15 / R25","배치 비용 120다이아. 슬롯 1칸, 동시 설치 1기, 체력 100. 체력 40% 이하의 아군을 최대 체력의 40%, 최대 150만큼 회복합니다. 웨이브마다 서로 다른 3기에게 한 번씩 적용합니다. R15/R25 자동 강화.","수호천사","설계도 해금 후 유료 설치","120","1","1","100","200","300","0","0","0","6","","마법","대상당 회복 상한 150 / 225 / 300. 부상 대상 최대 체력의 40%까지 회복.","R5 T1 / R15 T2 / R25 T3. 기본 몸체 체력 ×1/2/3, 기본 공격·고정 피해·회복 상한 ×1/1.5/2, 기존 광역 피해 반경 ×1/1.15/1.3. 비율 효과·횟수·대상 수는 유지. 외부 회복·전투 강화·복제 불가. 일반 승급 없음.","{""healthPerTier"":1,""powerPerTier"":0.5,""areaPerTier"":0.15,""checkTicks"":20,""healCap"":150,""healRatio"":0.4,""healthThreshold"":0.4,""maxHeals"":3}","semiontd:emergency_bell_blueprint","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json; AugmentTowers.java; tower_balance.json; AugmentTower.java; OffensiveAugmentTower.java"
"8","쌍둥이","실버","일반 강화","일반 후보","R5 / R15 / R25","웨이브 시작에 같은 종류와 티어의 일반 영구 공격 타워가 정확히 두 기이면 최종 피해 +30%.","","","","","","","","","","","","","","","","","{""damageBonus"":0.3}","semiontd:twin_squadron","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"9","전술 지명 I (돌격)","실버","일반 강화","일반 후보","R5 / R15 / R25","지정 타워 한 기의 최종 피해 +35%.","","","","","","","","","","","","","","","","","{""damageBonus"":0.35,""damageReduction"":0.2}","semiontd:tactical_designation_1_assault","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"10","전술 지명 I (엄호)","실버","일반 강화","일반 후보","R5 / R15 / R25","지정 타워 한 기의 받는 피해 20% 감소.","","","","","","","","","","","","","","","","","{""damageBonus"":0.35,""damageReduction"":0.2}","semiontd:tactical_designation_1_cover","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"11","지구전","실버","일반 강화","일반 후보","R5 / R15 / R25","전투 시작 8초 뒤부터 일반 영구 타워의 최종 피해 +25%, 받는 피해 15% 감소.","","","","","","","","","","","","","","","","","{""longDamageBonus"":0.25,""longDamageReduction"":0.15,""quickDamageBonus"":0.35,""transitionTicks"":160}","semiontd:engagement_plan_long","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"12","혼자가 편해","실버","일반 강화","일반 후보","R5 / R15 / R25","웨이브 시작에 반경 4블록 안에 이웃 타워가 없는 일반 영구 공격 타워는 최종 피해 +30%, 받는 피해 15% 감소.","","","","","","","","","","","","","","","","","{""damageBonus"":0.3,""damageReduction"":0.15,""radius"":4}","semiontd:independent_position","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"13","결속 타워","골드","전용 타워","일반 후보","R5 / R15 / R25","배치 비용 220다이아. 슬롯 1칸, 동시 설치 1기, 체력 160. 서로 다른 두 공격 타워를 연결합니다. 한쪽이 기본 공격 5회를 명중시키면 반대편의 다음 기본 공격에 추가 피해 100%. R15/R25 자동 강화.","결속 타워","설계도 해금 후 유료 설치","220","1","1","160","320","480","0","0","0","6","","마법","연결 타워의 충전 공격 추가 피해 100%. 단계에 따라 비율이 늘어나지 않음.","R5 T1 / R15 T2 / R25 T3. 기본 몸체 체력 ×1/2/3, 기본 공격·고정 피해·회복 상한 ×1/1.5/2, 기존 광역 피해 반경 ×1/1.15/1.3. 비율 효과·횟수·대상 수는 유지. 외부 회복·전투 강화·복제 불가. 일반 승급 없음.","{""healthPerTier"":1,""powerPerTier"":0.5,""areaPerTier"":0.15,""attacksPerCharge"":5,""chargedDamageRatio"":1}","semiontd:pulse_relay_blueprint","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json; AugmentTowers.java; tower_balance.json; AugmentTower.java; OffensiveAugmentTower.java"
"14","결전 납품","골드","인컴·경제","일반 후보","R5 / R15 / R25","다음 인컴의 영구 인컴 증가를 포기하고, 최대 체력 ×2, 기본 공격 ×1.8로 보냅니다.","","","","","","","","","","","","","","","","","{""attackMultiplier"":1.8,""healthMultiplier"":2}","semiontd:decisive_delivery","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"15","고참병의 흉터","골드","일반 강화","일반 후보","R5 / R15 / R25","지정 타워가 적에게 웨이브 시작 최대 체력의 40% 이상에 해당하는 체력 피해를 받고 생존하면 최종 피해와 최대 체력 +15%. 최대 4회 중첩하며 대상은 바꿀 수 없습니다.","","","","","","","","","","","","","","","","","{""bonusPerStack"":0.15,""damageThreshold"":0.4,""maxStacks"":4}","semiontd:battlefield_mastery","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"16","도미노 사격","골드","규칙 변경","일반 후보","R5 / R15 / R25","주 대상 기본 공격 처치의 초과 피해 90%를 반경 4블록의 다른 적 한 기에게 전달합니다. 원래 피해의 75%가 상한이며, 전달 피해는 다른 증강을 발동하지 않습니다.","","","","","","","","","","","","","","","","","{""damageCapRatio"":0.75,""overkillRatio"":0.9,""radius"":4}","semiontd:domino_fire","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"17","마무리 사격 II","골드","일반 강화","일반 후보","R5 / R15 / R25","체력이 절반 이하인 적에게 주 대상 기본 공격 피해 +70%. 추가 공격과 범위 피해에는 적용하지 않습니다.","","","","","","","","","","","","","","","","","{""damageBonus"":0.7}","semiontd:finishing_fire_2","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"18","마법장갑","골드","대가형","일반 후보","R5 / R15 / R25","일반 영구 타워가 적의 직접 공격으로 받는 마법 피해 ×0.55, 물리 피해 ×1.35.","","","","","","","","","","","","","","","","","{""oppositeMultiplier"":1.35,""selectedMultiplier"":0.55}","semiontd:biased_armor_magic","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"19","물리장갑","골드","대가형","일반 후보","R5 / R15 / R25","일반 영구 타워가 적의 직접 공격으로 받는 물리 피해 ×0.55, 마법 피해 ×1.35.","","","","","","","","","","","","","","","","","{""oppositeMultiplier"":1.35,""selectedMultiplier"":0.55}","semiontd:biased_armor_physical","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"20","복제본 생성","골드","인컴·경제","일반 후보","R5 / R15 / R25","다음 인컴을 한 웨이브 늦춰 보내고, 능력치 50%의 복제본 한 기를 추가합니다. 비용은 즉시 결제하고 인컴은 출현할 때 증가합니다.","","","","","","","","","","","","","","","","","{""echoRatio"":0.5}","semiontd:forecast_offensive","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"21","영혼 결속","골드","규칙 변경","일반 후보","R5 / R15 / R25","서로 다른 타워를 선봉과 포대로 지정합니다. 선봉: 최종 피해 -25%, 받는 피해 45% 감소. 포대: 최종 피해 +70%, 받는 피해 ×1.25. 한 기를 잃으면 두 효과 모두 해제됩니다.","","","","","","","","","","","","","","","","","{""artilleryDamageBonus"":0.7,""artilleryIncomingMultiplier"":1.25,""vanguardDamagePenalty"":0.25,""vanguardDamageReduction"":0.45}","semiontd:frontline_specialization","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"22","오버히트","골드","대가형","일반 후보","R5 / R15","이번 준비 단계에 지정한 타워의 최종 피해 +100%. 사용 후 최종 피해 6%가 영구 감소하며 최대 5회 중첩합니다.","","","","","","","","","","","","","","","","","{""damageBonus"":1,""maxStacks"":5,""penaltyPerStack"":0.06}","semiontd:overheat_core","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"23","인센티브","골드","인컴·경제","일반 후보","R5 / R15 / R25","유틸 인컴 한 기가 서로 다른 유닛 3기를 회복하거나 보호막을 주면 정기 인컴 +6. 준비 단계당 한 번, 경기 합계 최대 +24.","","","","","","","","","","","","","","","","","{""incomeBonus"":6,""matchIncomeCap"":24,""targetCount"":3}","semiontd:support_performance","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"24","일시불","골드","인컴·경제","일반 후보","R5 / R15 / R25","다음 인컴의 영구 인컴 증가를 포기하고, 그 증가량의 5배를 즉시 다이아로 받습니다.","","","","","","","","","","","","","","","","","{""diamondMultiplier"":5}","semiontd:cash_settlement","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"25","전술 지명 II (돌격)","골드","일반 강화","일반 후보","R5 / R15 / R25","지정 타워 한 기의 최종 피해 +65%.","","","","","","","","","","","","","","","","","{""damageBonus"":0.65,""damageReduction"":0.3}","semiontd:tactical_designation_2_assault","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"26","전술 지명 II (엄호)","골드","일반 강화","일반 후보","R5 / R15 / R25","지정 타워 한 기의 받는 피해 30% 감소.","","","","","","","","","","","","","","","","","{""damageBonus"":0.65,""damageReduction"":0.3}","semiontd:tactical_designation_2_cover","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"27","전지 타워","골드","전용 타워","일반 후보","R5 / R15 / R25","배치 비용 140다이아. 슬롯 1칸, 동시 설치 2기, 체력 180. 사거리 안에 적이 없는 동안 2초마다 충전합니다. 최대 3개를 모으며, 다음 기본 공격에 충전당 추가 피해 110. R15/R25 자동 강화.","전지 타워","설계도 해금 후 유료 설치","140","1","2","180","360","540","35","52.5","70","5","1","마법","충전당 추가 피해 110 / 165 / 220. 최대 충전 추가 피해 330 / 495 / 660.","R5 T1 / R15 T2 / R25 T3. 기본 몸체 체력 ×1/2/3, 기본 공격·고정 피해·회복 상한 ×1/1.5/2, 기존 광역 피해 반경 ×1/1.15/1.3. 비율 효과·횟수·대상 수는 유지. 외부 회복·전투 강화·복제 불가. 일반 승급 없음.","{""healthPerTier"":1,""powerPerTier"":0.5,""areaPerTier"":0.15,""chargeDamage"":110,""chargeTicks"":40,""maxCharges"":3}","semiontd:capacitor_post_blueprint","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json; AugmentTowers.java; tower_balance.json; AugmentTower.java; OffensiveAugmentTower.java"
"28","지뢰 생성기","골드","전용 타워","일반 후보","R5 / R15 / R25","배치 비용 220다이아. 슬롯 1칸, 동시 설치 1기, 체력 180. 고른 방향 앞에 지뢰 세 개를 준비합니다. 반경 1.25블록에 적이 들어오면 반경 2블록의 최대 2기에게 170피해를 줍니다. 다음 웨이브에 다시 장전합니다. R15/R25 자동 강화.","지뢰 생성기","설계도 해금 후 유료 설치","220","1","1","180","360","540","0","0","0","6","","물리","지뢰 피해 170 / 255 / 340. 폭발 반경 2 / 2.3 / 2.6블록.","R5 T1 / R15 T2 / R25 T3. 기본 몸체 체력 ×1/2/3, 기본 공격·고정 피해·회복 상한 ×1/1.5/2, 기존 광역 피해 반경 ×1/1.15/1.3. 비율 효과·횟수·대상 수는 유지. 외부 회복·전투 강화·복제 불가. 일반 승급 없음.","{""healthPerTier"":1,""powerPerTier"":0.5,""areaPerTier"":0.15,""checkTicks"":5,""damageRadius"":2,""mineDamage"":170,""mineTargets"":2,""triggerRadius"":1.25}","semiontd:ambush_workshop_blueprint","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json; AugmentTowers.java; tower_balance.json; AugmentTower.java; OffensiveAugmentTower.java"
"29","칼날비","골드","일반 강화","일반 후보","R5 / R15 / R25","적격 적을 기본 공격으로 처치하면 다음 기본 공격 3회의 피해 +60%. 다시 처치하면 남은 횟수를 3회로 갱신합니다.","","","","","","","","","","","","","","","","","{""charges"":3,""damageBonus"":0.6}","semiontd:winning_barrage","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"30","공성 전차","프리즘","전용 타워","일반 후보","R5 / R15 / R25","무료 배치권 한 장. 슬롯 1칸, 동시 설치 1기, 체력 320. 3블록보다 가까운 적은 공격하지 못합니다. 기본 공격 시 추가 피해: 적 최대 체력의 12%(자연 웨이브 보스 3%). R15/R25 자동 강화.","공성 전차","무료 배치권 1장","0","1","1","320","640","960","70","105","140","9","3","물리","단일 공격에 적 최대 체력의 12% 추가, 자연 웨이브 보스에는 3%. 최소 사거리 3블록. 광역 피해 없음.","R5 T1 / R15 T2 / R25 T3. 기본 몸체 체력 ×1/2/3, 기본 공격·고정 피해·회복 상한 ×1/1.5/2, 기존 광역 피해 반경 ×1/1.15/1.3. 비율 효과·횟수·대상 수는 유지. 외부 회복·전투 강화·복제 불가. 일반 승급 없음.","{""healthPerTier"":1,""powerPerTier"":0.5,""areaPerTier"":0.15,""bossMaxHealthDamageRatio"":0.03,""maxHealthDamageRatio"":0.12,""minimumRange"":3}","semiontd:giant_hunter_call","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json; AugmentTowers.java; tower_balance.json; AugmentTower.java; OffensiveAugmentTower.java"
"31","금지된 설계도","프리즘","대가형","일반 후보","R5 / R15","장당 최대 450다이아를 지원하는 승급권 2장을 받습니다. 사용할 때마다 이후 정기 지급액에 ×0.9를 적용합니다. 같은 타워에는 한 장만 쓰며, 이번 준비 종료 시 남은 이용권이 사라집니다.","","","","","","","","","","","","","","","","","{""payoutMultiplier"":0.9,""ticketCount"":2,""ticketValue"":450}","semiontd:forbidden_blueprint","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"32","내실 다지기","프리즘","인컴·경제","일반 후보","R5 / R15 / R25","다음 인컴의 몸체 능력치 ×0.7, 영구 인컴 증가량 +40%. 라운드 추가 인컴은 최대 20입니다.","","","","","","","","","","","","","","","","","{""bodyMultiplier"":0.7,""bonusRatio"":0.4,""roundBonusCap"":20}","semiontd:low_pressure_high_yield","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"33","마무리 사격 III","프리즘","일반 강화","일반 후보","R5 / R15 / R25","체력이 절반 이하인 적에게 주 대상 기본 공격 피해 +110%. 추가 공격과 범위 피해에는 적용하지 않습니다.","","","","","","","","","","","","","","","","","{""damageBonus"":1.1}","semiontd:finishing_fire_3","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
